id,label
1,1
4,1
5,1
6,1
8,1
9,1
10,1
11,1
13,1
14,1
15,1
17,0
18,1
20,1
21,1
22,0
23,1
25,1
26,0
27,1
29,1
30,1
31,1
33,1
34,4
35,1
39,1
41,1
42,1
43,1
45,1
46,1
48,1
49,1
50,1
52,1
53,1
54,1
55,1
56,1
57,1
61,1
62,1
63,1
64,1
67,1
68,1
71,1
73,1
75,0
78,1
79,1
80,1
81,1
83,1
84,1
87,1
88,1
90,0
91,1
92,1
93,1
94,1
96,1
99,1
100,1
101,1
103,1
104,1
105,0
107,1
108,1
111,1
112,1
113,1
114,1
117,1
118,0
119,0
120,1
121,1
122,1
124,1
125,1
126,1
127,1
130,1
131,1
132,0
134,1
135,1
136,1
137,1
138,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
149,1
150,1
151,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
163,1
164,1
165,1
168,1
170,1
171,0
172,1
173,1
174,1
176,0
177,1
179,1
185,1
189,1
190,1
191,0
192,1
193,1
195,0
197,1
198,1
200,1
201,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,0
219,1
221,1
222,1
224,1
225,1
228,4
230,4
231,1
232,1
236,1
237,1
238,1
239,1
240,1
241,0
244,1
245,1
246,1
247,1
248,1
250,1
251,1
253,0
255,0
256,1
258,1
259,1
262,1
263,1
264,1
265,1
268,1
270,1
271,0
273,1
274,1
277,1
278,0
279,1
282,1
283,1
284,1
285,1
287,1
288,1
290,1
291,1
292,1
296,1
297,1
298,1
300,0
301,1
302,1
303,1
304,1
305,1
307,1
308,1
309,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
320,1
321,1
323,1
325,1
327,1
329,1
330,1
332,1
334,1
336,1
337,1
340,0
341,1
342,1
343,1
344,1
345,1
347,1
348,1
349,1
351,1
352,1
353,1
355,1
357,1
358,1
360,1
361,1
363,1
366,1
368,0
370,1
371,1
373,1
375,1
376,1
377,1
379,1
380,1
381,1
382,0
384,1
393,1
395,1
398,1
401,1
403,1
405,1
407,1
409,1
410,1
411,1
412,1
413,1
414,0
415,1
416,1
418,1
419,1
420,1
423,0
425,1
426,0
428,1
429,1
430,1
431,1
433,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
445,1
447,1
448,1
449,1
450,4
451,0
452,1
453,1
454,1
456,0
457,1
460,1
462,0
463,1
464,1
465,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
476,1
477,1
478,1
479,1
480,1
484,1
486,1
487,1
488,1
489,1
491,1
492,1
493,0
496,1
499,1
500,1
501,0
504,1
505,0
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
519,1
521,1
522,1
523,1
525,1
526,1
527,1
528,1
529,1
530,1
533,1
534,1
535,1
536,1
537,1
538,1
542,1
543,1
546,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
558,1
559,1
561,1
564,1
565,1
566,1
568,1
571,1
572,1
573,1
574,1
575,1
578,1
579,1
581,1
582,1
583,1
584,1
585,0
587,1
588,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
598,1
599,1
601,1
602,1
605,1
607,1
608,1
609,1
610,1
611,1
613,1
615,1
617,1
618,1
619,1
620,1
622,1
623,1
624,1
625,1
627,0
629,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
651,1
652,1
655,1
656,1
657,1
658,1
659,1
661,1
662,1
663,1
664,0
665,1
666,1
667,1
668,1
670,1
671,1
672,1
673,0
675,1
677,1
678,1
679,1
681,1
682,1
683,1
684,1
687,1
688,1
691,1
694,1
695,1
696,1
697,1
698,1
699,1
700,1
701,1
702,1
705,1
706,1
709,1
710,1
712,1
713,1
714,0
715,1
716,1
717,1
721,1
722,1
723,1
727,1
728,1
730,1
732,1
733,0
734,1
735,0
736,1
737,1
738,1
740,1
741,1
742,1
743,1
744,1
745,1
746,0
747,1
748,1
749,1
753,1
754,1
755,1
756,1
757,1
758,1
760,1
761,1
763,1
764,1
767,1
768,1
770,1
771,1
774,1
775,1
777,1
778,1
779,1
780,1
781,1
782,1
785,1
786,1
787,0
788,1
790,1
791,1
792,1
793,1
794,1
796,1
797,1
799,1
800,1
801,1
802,0
805,1
806,1
807,0
808,1
809,1
810,1
812,1
813,1
814,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
825,1
828,1
829,0
831,0
836,1
837,1
840,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
850,1
851,1
852,1
853,0
855,1
856,1
857,1
858,1
859,1
861,1
862,1
863,1
864,1
866,1
867,1
868,1
871,0
872,1
874,1
875,1
877,1
878,1
879,1
880,1
882,1
885,1
886,1
887,1
889,0
891,1
892,1
894,4
895,1
897,1
898,1
899,1
900,1
901,1
902,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
915,1
916,1
922,1
923,1
924,1
926,1
927,1
929,1
931,1
932,1
934,1
936,1
937,1
938,1
939,1
942,1
943,1
944,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
958,1
959,1
960,1
962,1
963,1
966,1
967,1
968,1
969,1
970,1
973,1
975,1
977,1
978,1
980,1
981,1
982,1
984,1
985,1
986,1
988,4
990,1
992,1
993,1
997,1
998,0
999,1
1001,1
1002,1
1003,1
1004,1
1006,1
1007,1
1008,1
1009,1
1011,1
1012,1
1014,1
1015,0
1016,1
1017,1
1018,0
1019,1
1020,1
1022,1
1023,1
1025,0
1026,1
1027,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1040,1
1042,1
1043,1
1044,0
1045,1
1046,1
1050,1
1051,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1067,1
1068,1
1069,1
1072,1
1073,0
1075,1
1076,1
1078,1
1080,1
1081,1
1082,1
1085,1
1086,0
1087,0
1088,1
1089,1
1091,1
1092,1
1094,0
1096,1
1098,1
1099,1
1100,1
1101,1
1102,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,1
1112,1
1115,1
1116,1
1117,1
1119,1
1120,1
1121,1
1122,0
1124,1
1125,1
1126,1
1127,1
1128,1
1131,1
1132,1
1134,1
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,1
1144,1
1145,1
1146,1
1149,1
1153,1
1156,1
1157,1
1158,0
1160,4
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1178,1
1179,1
1181,1
1182,1
1183,0
1184,1
1185,1
1186,1
1187,1
1188,1
1189,0
1190,1
1191,1
1194,1
1195,1
1196,1
1197,1
1201,1
1202,1
1203,0
1204,1
1205,1
1209,1
1210,1
1211,0
1212,1
1213,1
1214,1
1215,1
1218,1
1219,1
1220,4
1221,1
1222,1
1223,1
1224,1
1225,1
1227,1
1229,0
1230,1
1232,1
1233,1
1234,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,0
1244,1
1245,0
1246,0
1247,1
1248,1
1249,1
1250,1
1254,1
